Материал,Класс,Грузополучатель,reciever_lat,reciever_long
770000084824,G2106,20000447,52.3445327,84.4583842
770000807994,G2106,20000447,52.3445327,84.4583842
770000881880,G2106,20000447,52.3445327,84.4583842
770000062657,G21050301,20000447,52.3445327,84.4583842
770000862665,G2106,20001123,66.8811,79.4907
770000862992,G2106,20001123,66.8811,79.4907
770000862827,G2106,20001123,66.8811,79.4907
770000443497,G2106,20001123,66.8811,79.4907
770000812120,G2106,20001123,66.8811,79.4907
770000862822,G2106,20001123,66.8811,79.4907
770000862996,G2106,20001123,66.8811,79.4907
770000862997,G2106,20001123,66.8811,79.4907
770000607725,G2106,20001123,66.8811,79.4907
770000862999,G2106,20001123,66.8811,79.4907
770000606910,G2106,20001123,66.8811,79.4907
770000862994,G2106,20001123,66.8811,79.4907
770000305805,G210502,20000537,66.6615094,66.3810869
770000875288,G21050101,20000537,66.6615094,66.3810869
770000924887,G21050101,20000537,66.6615094,66.3810869
770000924892,G21050101,20000537,66.6615094,66.3810869
770000657988,G21050101,20000537,66.6615094,66.3810869
770000924864,G21050101,20000537,66.6615094,66.3810869
770000851224,G21050101,20000537,66.6615094,66.3810869
770000627447,G2107,20001123,66.8811,79.4907
770000872388,G21050102,20000221,63.1667,75.6167
770000784505,G21050102,20000447,52.3445327,84.4583842
770000784522,G21050102,20000447,52.3445327,84.4583842
770000662014,G21050102,20000447,52.3445327,84.4583842
770000690557,G21050102,20000447,52.3445327,84.4583842
770000485601,G210512,20001629,55.35,78.35
770000519589,G2110,20001629,55.35,78.35
770000967393,G2110,20001629,55.35,78.35
770000652859,G21050102,20000221,63.1667,75.6167
770000872371,G21050102,20000221,63.1667,75.6167
770000872349,G21050102,20000221,63.1667,75.6167
770000873029,G21050102,20000221,63.1667,75.6167
770000346828,G210502,20000447,52.3445327,84.4583842
770000881881,G2106,20000447,52.3445327,84.4583842
770000875067,G2106,20001123,66.8811,79.4907
770000875066,G2106,20001123,66.8811,79.4907
770000875259,G2106,20001123,66.8811,79.4907
770000875246,G2106,20001123,66.8811,79.4907
770000875257,G2106,20001123,66.8811,79.4907
770000875244,G2106,20001123,66.8811,79.4907
770000875256,G2106,20001123,66.8811,79.4907
770000875260,G2106,20001123,66.8811,79.4907
770000875255,G2106,20001123,66.8811,79.4907
770000875245,G2106,20001123,66.8811,79.4907
770000875253,G2106,20001123,66.8811,79.4907
770000875252,G2106,20001123,66.8811,79.4907
770000875251,G2106,20001123,66.8811,79.4907
770000875248,G2106,20001123,66.8811,79.4907
770000875250,G2106,20001123,66.8811,79.4907
770000875249,G2106,20001123,66.8811,79.4907
770000016773,G21050301,20001123,66.8811,79.4907
770000875258,G2106,20001123,66.8811,79.4907
770000264221,G210502,8536,55.00907075000001,73.29768400924007
770000305442,G21050102,8536,55.00907075000001,73.29768400924007
770000007177,G21050102,8536,55.00907075000001,73.29768400924007
770000311552,G21050102,8536,55.00907075000001,73.29768400924007
770000007172,G21050102,8536,55.00907075000001,73.29768400924007
770000007182,G21050102,8536,55.00907075000001,73.29768400924007
770000506825,G210502,8536,55.00907075000001,73.29768400924007
770000007174,G21050102,8536,55.00907075000001,73.29768400924007
770000007181,G21050102,8536,55.00907075000001,73.29768400924007
770000888751,G2106,8536,55.00907075000001,73.29768400924007
770000888752,G2106,8536,55.00907075000001,73.29768400924007
770000888742,G2106,8536,55.00907075000001,73.29768400924007
770000821476,G2106,8536,55.00907075000001,73.29768400924007
770000892556,G2106,8536,55.00907075000001,73.29768400924007
770000892558,G2106,8536,55.00907075000001,73.29768400924007
770000892584,G2106,8536,55.00907075000001,73.29768400924007
770000892594,G2106,8536,55.00907075000001,73.29768400924007
770000892544,G2106,8536,55.00907075000001,73.29768400924007
770000892549,G2106,8536,55.00907075000001,73.29768400924007
770000873175,G21050102,20001046,62.1406,65.3936
770000872804,G21050102,20001046,62.1406,65.3936
770000872806,G21050102,20001046,62.1406,65.3936
