Материал,Класс,Поставщики
1167391,G210402,"['23472', '83996', '86060', '107737', '94293']"
1167393,G210402,"['23472', '62488', '94994', '51983', '91113', '94401']"
1167410,G210402,"['96318', '23472', '66372', '94401', '51983', '72631', '83996', '86060', '107737', '94293']"
1167413,G210402,"['66372', '23472', '7130091442', '104734', '58060', '94293', '83996', '86060', '107737', '94401', '104735']"
1167415,G210402,"['23472', '83996', '86060', '107737', '94293']"
1167450,G210402,"['73636', '23472', '62488', '79691', '96542', '73073', '72222', '83996', '103704', '7120003994', '94293']"
1167456,G210402,"['96318', '66372', '23472', '62488', '79691', '73073', '96542', '104734', '72222', '7166930275', '58060', '104735', '83996', '94293', '86060', '107737', '94401', '7166900936']"
1167458,G210402,"['62488', '79691', '73073', '72222', '83996']"
1167460,G210402,"['96318', '23472', '70182', '50615', '83996', '86060', '107737', '94293']"
1167462,G210402,"['23472', '73073', '51983', '58060', '94990', '83996', '94401']"
1167466,G210402,"['7138603783', '23472', '7166930275', '83996', '7120002575', '86060', '107737', '94293']"
1167469,G210402,"['73636', '62488', '7130091442', '51983', '94293', '79691', '83996', '75551', '23472', '70182', '58837', '96542', '73073', '72222', '85862', '59545', '22722', '103704', '73668']"
1167471,G210402,"['96318', '25471', '23472', '62488', '79691', '73073', '103684', '96633', '83996']"
1167473,G210402,"['96318', '91391', '66372', '62488', '79691', '73073', '96542', '23472', '107737', '104734', '72222', '94293', '83996', '103704', '86060', '75551', '94401', '104735']"
1167494,G210402,"['96318', '23472', '50615', '83996', '86060', '107737', '94293']"
1167497,G210402,['7166930543']
1167503,G210402,"['23472', '83996', '86060', '107737', '94293']"
1167505,G210402,"['66372', '62488', '104734', '58060', '94401', '104735']"
1167507,G210402,"['91391', '23472', '62488', '79691', '73073', '96542', '72222', '7139204772', '83996', '103704', '94293']"
1167532,G210402,"['23472', '66372', '62488', '94994', '51983', '104734', '50615', '96633', '91113', '58060', '94401', '104735']"
1167538,G210402,"['7140703566', '23472', '83996', '72222', '7166930275', '7166930543', '96318', '103704', '94293', '7166900936']"
1167540,G210402,"['73636', '96318', '66372', '23472', '62488', '79691', '73073', '103684', '104734', '58060', '94293', '83996', '103704', '86060', '107737', '94401', '104735']"
1167546,G210402,"['23472', '62488', '96542', '79691', '83996', '103704']"
1167548,G210402,"['23472', '83996', '86060', '107737', '94293']"
1167550,G210402,"['96318', '23472', '83996', '86060', '107737', '94293']"
1167575,G210402,"['96318', '23472', '62488', '7139206814', '104734', '72164', '94293', '83996', '86060', '107737', '94401', '104735']"
1167582,G210402,"['73636', '23472', '62488', '79691', '44114', '73073', '103704', '103684', '7130091442', '72222', '83996', '69357', '86060', '107737', '94293']"
1167592,G210402,"['23472', '7166930543', '83996', '86060', '107737', '94293', '7166900936']"
1167594,G210402,"['96318', '66372', '23472', '62488', '79691', '73073', '104734', '7166930543', '50615', '94293', '83996', '86060', '107737', '94401', '104735']"
1167598,G210402,"['59545', '73082', '23472', '96542', '83996', '103704']"
1167600,G210402,"['96318', '91391', '23472', '62488', '79691', '73073', '96542', '72222', '7166930543', '83996', '103704', '86060', '107737', '94293', '7166900936']"
1167602,G210402,"['73636', '96318', '23472', '62488', '96542', '79691', '72222', '83996', '103704', '86060', '107737', '94293']"
1167606,G210402,"['23472', '62488', '96542', '79691', '83996', '103704']"
1167609,G210402,"['23472', '73073', '51983', '7166930275', '7166930543', '58060', '94990', '83996', '94401', '7166900936']"
1167613,G210402,"['7140703566', '7130091442']"
1167615,G210402,"['66372', '23472', '62488', '79691', '73073', '104734', '94293', '83996', '94401', '104735']"
1173180,G210511,"['48185', '85862']"
1173190,G210511,"['98429', '48185', '74111']"
1173210,G210511,"['106015', '45110', '111427', '111553']"
1173250,G2170,"['59541', '58691']"
1173276,G2106,"['70182', '58837', '72249', '72631', '85862', '83996']"
1173279,G2106,"['70182', '58837', '72249', '72631', '85862', '83996']"
1173282,G2106,"['70182', '58837', '58691', '104143', '72249', '72631', '85862', '83996', '66005']"
1173291,G2106,['25890']
1173328,G210512,"['59541', '27605', '58691', '52095', '61448', '59', '50630', '76925', '47772']"
1173385,G210512,['73273']
1173391,G210512,"['59541', '27605', '58691', '61448', '47772', '76925', '52095']"
1173410,G210512,"['52781', '68210', '48185', '65186', '98429', '64092', '85862', '55081']"
1173420,G210512,"['59541', '27605', '58691', '61448', '47772', '76925', '52095']"
1173426,G210512,['58691']
1173436,G210512,['58691']
1173442,G210512,"['59541', '44114', '58691', '76925', '47772']"
1173457,G210512,"['104795', '58691', '51983', '61448', '111892', '94990', '83996', '47772', '94401', '112848']"
1173460,G210512,"['104795', '72249', '51983', '94990', '83996', '47772', '94401']"
1173550,G210511,"['47772', '94293']"
1173559,G210511,"['47772', '94293', '11187']"
1173562,G210511,"['47772', '7120001509']"
1173567,G210511,"['94501', '7166930543', '58857', '7175110024', '47772', '23288', '94293']"
1173571,G210511,"['59541', '94501', '58691', '23288', '47772', '7175108163', '94293']"
1173574,G210511,"['59541', '47772']"
