Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
39295.0,770000878866,"Кабель КВВГнг(А)-ХЛ 5х1,5",КМ,0.7,1,2021,1,2021-01-31,20000447.0,78005.29,Конкурентный отбор,10951615,160,2020-03-13,3
39295.0,770000878866,"Кабель КВВГнг(А)-ХЛ 5х1,5",КМ,0.7,2,2021,1,2021-02-28,20000447.0,78005.29,Конкурентный отбор,10951615,170,2020-03-13,3
39295.0,770000870174,Кабель КВВГЭнг(А)-ХЛ 7х1,КМ,1.05,1,2021,1,2021-01-31,20000447.0,84443.29,Конкурентный отбор,10951615,180,2020-03-13,3
39295.0,770000870174,Кабель КВВГЭнг(А)-ХЛ 7х1,КМ,1.05,2,2021,1,2021-02-28,20000447.0,84443.29,Конкурентный отбор,10951615,190,2020-03-13,3
39295.0,770000659387,Кабель КВВГЭнг(А)-LS-ХЛ 4х1,КМ,1.4,1,2021,1,2021-01-31,20000447.0,57813.8,Конкурентный отбор,10951615,200,2020-03-13,3
39295.0,770000659387,Кабель КВВГЭнг(А)-LS-ХЛ 4х1,КМ,1.4,2,2021,1,2021-02-28,20000447.0,57813.8,Конкурентный отбор,10951615,210,2020-03-13,3
39295.0,770000095289,Провод ПуГВ 1х6 з-ж,КМ,1.0,2,2021,1,2021-02-28,20000447.0,48206.89,Конкурентный отбор,10951615,220,2020-03-13,3
39295.0,770000095289,Провод ПуГВ 1х6 з-ж,КМ,1.0,1,2021,1,2021-01-31,20000447.0,48206.89,Конкурентный отбор,10951615,230,2020-03-13,3
39295.0,770000683433,"Кабель МКЭШВнг(А)-LS-ХЛ 2х2х1,0",КМ,0.7,2,2021,1,2021-02-28,20000447.0,486792.04,Конкурентный отбор,10951615,240,2020-03-13,3
39295.0,770000683433,"Кабель МКЭШВнг(А)-LS-ХЛ 2х2х1,0",КМ,0.7,1,2021,1,2021-01-31,20000447.0,486792.04,Конкурентный отбор,10951615,250,2020-03-13,3
8536.0,770001021902,"Кабель ВВГнг(А)-LS 3х4ок(N,PE)-0,66",КМ,0.58,7,2021,2,2021-07-23,8536.0,123933.12,Конкурентный отбор,10947081,260,2020-03-02,4
8536.0,770001018741,"Кабель КВВГЭнг(А)-FRLS 7х2,5",КМ,2.32,7,2021,2,2021-07-22,8536.0,306906.86,Конкурентный отбор,10947858,320,2020-03-03,4
8536.0,770001020123,"Кабель ВВГнг(А)-LS 3х6ок(N,PE)-0.66",КМ,0.74,7,2021,2,2021-07-22,8536.0,173268.26,Конкурентный отбор,10947858,330,2020-03-03,4
75006.0,770000232604,"Кабель монтажный КСПВ 4х0,5",КМ,0.03,6,2020,1,2020-06-30,20000974.0,12000.0,,10947249,50,2020-03-02,5
24446.0,770000843032,Кабель 0251/16-FOR-FR2XOHRAR/450-750V,М,30.0,6,2020,1,2020-06-03,24446.0,84.0,,10947459,1660,2020-03-02,5
24446.0,770000843034,Кабель заземляющий 1x6.0mm2 RAMCRO,М,90.0,6,2020,1,2020-06-03,24446.0,84.0,,10947459,1670,2020-03-02,5
24446.0,770000843035,Кабель 1x2x1.5mm2 RAMCRO,М,165.0,6,2020,1,2020-06-03,24446.0,86.04,,10947459,1680,2020-03-02,5
24446.0,770000810852,"Кабель ВБШвнг(А)-LS 5х35мк(N,PE)-1",КМ,0.15,6,2020,1,2020-06-30,24446.0,101805.6,,10947664,50,2020-03-03,5
24446.0,770000713804,"Кабель ВБШвнг(А)-LS 3х4ок(N,PE)-1",КМ,0.27,6,2020,1,2020-06-30,24446.0,996837.6,,10947664,60,2020-03-03,5
