Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.35,10,2023,2,2023-10-02,20001013.0,571046.44,Закупка у единственного поставщика,11485374,1010,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,475105.78,Закупка у единственного поставщика,11485374,1100,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,816945.79,Закупка у единственного поставщика,11485374,1160,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,394651.15,Закупка у единственного поставщика,11485374,1200,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,581223.07,Закупка у единственного поставщика,11485375,50,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,472565.11,Закупка у единственного поставщика,11485375,100,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.35,10,2023,2,2023-10-02,20001013.0,1192507.0,Закупка у единственного поставщика,11485375,150,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.7,10,2023,2,2023-10-02,20001013.0,414523.56,Закупка у единственного поставщика,11485375,210,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,621276.74,Закупка у единственного поставщика,11485375,270,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.35,10,2023,2,2023-10-02,20001013.0,1174646.88,Закупка у единственного поставщика,11485375,320,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.15,10,2023,2,2023-10-02,20001013.0,445040.64,Закупка у единственного поставщика,11485375,390,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.524,10,2023,2,2023-10-02,20001013.0,445040.64,Закупка у единственного поставщика,11485375,420,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.665,10,2023,2,2023-10-02,20001013.0,352765.07,Закупка у единственного поставщика,11485375,470,2023-07-03,100000692760.0
27605.0,770000719577,Кабель КПвПпБП-130 3х16-4кВ,КМ,0.5,12,2023,2,2023-12-01,20001013.0,257485.01,Закупка у единственного поставщика,11485375,480,2023-07-03,100000692760.0
