Материал,Класс,Поставщик,supp_lat,supp_long
770000606934,G2106,44114,60.1256,29.8764
770000833052,G2106,72148,56.4464,58.9183
770000833052,G2106,44114,60.1256,29.8764
770000862878,G2106,72148,56.4464,58.9183
770000644091,G2106,72148,56.4464,58.9183
770000644091,G2106,44114,60.1256,29.8764
770000635885,G2106,72148,56.4464,58.9183
770000635885,G2106,44114,60.1256,29.8764
770000812179,G2106,72148,56.4464,58.9183
770000862786,G2106,72148,56.4464,58.9183
770000862878,G2106,72148,56.4464,58.9183
770000862887,G2106,72148,56.4464,58.9183
770000862887,G2106,44114,60.1256,29.8764
770000862998,G2106,72148,56.4464,58.9183
770000607739,G2106,72148,56.4464,58.9183
770000607739,G2106,44114,60.1256,29.8764
770000607786,G2106,72148,56.4464,58.9183
770000607786,G2106,44114,60.1256,29.8764
770000607786,G2106,69357,66.0833,76.6333
770000809012,G2106,72148,56.4464,58.9183
770000809012,G2106,44114,60.1256,29.8764
770000606936,G2106,72148,56.4464,58.9183
770000606936,G2106,44114,60.1256,29.8764
770000606931,G2106,72148,56.4464,58.9183
770000606931,G2106,44114,60.1256,29.8764
770000862991,G2106,72148,56.4464,58.9183
770000862991,G2106,44114,60.1256,29.8764
770000812116,G2106,72148,56.4464,58.9183
770000812116,G2106,44114,60.1256,29.8764
770000852485,G21050101,44114,60.1256,29.8764
770000852485,G21050101,54948,55.7522,37.6156
770000852485,G21050101,69357,66.0833,76.6333
770000657649,G21050101,47772,58.0,56.25
770000657649,G21050101,44114,60.1256,29.8764
770000657649,G21050101,69357,66.0833,76.6333
770000831667,G21050101,44114,60.1256,29.8764
770000831667,G21050101,54948,55.7522,37.6156
770000808839,G21050101,47772,58.0,56.25
770000523696,G21050101,54948,55.7522,37.6156
770000283200,G210516,59541,56.5,84.9667
770000283200,G210516,64025,66.0833,76.6333
770000283200,G210516,27645,54.3408,73.2098
770000283200,G210516,57650,66.53,66.6019
770000283200,G210516,44114,60.1256,29.8764
770000283200,G210516,58691,56.8575,60.6125
